canonical_drug_id,pred_ic50_mean,pred_ic50_std,pred_ic50_min,pred_ic50_max,y_true_mean,n_cell_lines,drug_name_norm,DRUG_NAME,TARGET,TARGET_PATHWAY,rank,rank_20260428_colon_v2
1039,0.7478836855357684,0.3239284345538253,0.3640306522807114,1.1094853329805925,5.450702,4,sl0101,SL0101,"RSK, AURKB, PIM1, PIM3","Other, kinases",17,17
1441,0.768872981781812,0.7557597307666619,-0.1575916904096158,3.278288820737276,2.4243429,35,azd2014,AZD2014,"mTORC1, mTORC2",PI3K/MTOR signaling,18,18
2169,0.816394261630078,0.2891173576229351,0.5352720015635118,1.0728094745871872,4.1665077,4,azd6482,AZD6482,PI3Kbeta,PI3K/MTOR signaling,19,19
1849,0.8354776507710813,0.7554312245251446,-0.2358188820329059,3.3274175540324142,0.14181781,35,sabutoclax,Sabutoclax,"BCL2,  BCL-XL,  BFL1, MCL1",Apoptosis regulation,20,20
1037,0.8559387261861888,0.3787965245587706,0.4183008200075304,1.2995626171850456,2.7582548,4,bx795,BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases",21,21
1060,0.8571442273909325,0.5655194442644124,-0.002338135788953,2.7083756294101495,-0.9934592,35,pd0325901,PD0325901,"MEK1, MEK2",ERK MAPK signaling,22,22
1179,0.8597260762850008,0.7499909614783106,-0.0627230280147196,2.8236691497603528,0.4741708,35,mk1775,MK-1775,"WEE1, PLK1",Cell cycle,23,23
1088,1.071075002411201,0.8720221451415644,-0.1735170300590127,3.8072823915481657,3.7548714,35,irinotecan,Irinotecan,TOP1,DNA replication,24,24
1511,1.0863541617805168,0.8672503834599967,-0.3548036204085052,3.4249214779246806,-0.13304803,34,epirubicin,Epirubicin,Anthracycline,DNA replication,25,25
1191,1.1377483175206904,0.7375937811858937,0.2129974756706383,3.354501461005418,-4.4187737,34,bortezomib,Bortezomib,Proteasome,Protein stability and degradation,26,26
1808,1.1393122808035585,0.8842896628697595,-0.4083640513902578,3.639402749865355,1.2513804,35,topotecan,Topotecan,TOP1,DNA replication,27,27
1046,1.1433748860289077,0.7159289936426179,0.2688322258610159,3.228308726842775,2.543309,34,wee1inhibitor,Wee1 Inhibitor,"WEE1, CHEK1",Cell cycle,28,28
